cause,year,dead
"External causes of mortality (*U01,V01-Y84)",2020,1753
"External causes of mortality (*U01,V01-Y84)",2021,1906
"External causes of mortality (*U01,V01-Y84)",2022,1964
"External causes of mortality (*U01,V01-Y84)",2023,1840
"External causes of mortality (*U01,V01-Y84)",2024,1849
"External causes of mortality (*U01,V01-Y84)",2025,193
Accidents (unintentional injuries) (V01-X59),2018,1261
Accidents (unintentional injuries) (V01-X59),2019,1321
Accidents (unintentional injuries) (V01-X59),2020,1256
Accidents (unintentional injuries) (V01-X59),2021,1383
Accidents (unintentional injuries) (V01-X59),2022,1426
Accidents (unintentional injuries) (V01-X59),2023,1366
Accidents (unintentional injuries) (V01-X59),2024,1338
Accidents (unintentional injuries) (V01-X59),2025,147
Transport accidents (V01-V99),2018,90
Transport accidents (V01-V99),2019,82
Transport accidents (V01-V99),2020,87
Transport accidents (V01-V99),2021,117
Transport accidents (V01-V99),2022,86
Transport accidents (V01-V99),2023,85
Transport accidents (V01-V99),2024,85
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2018,89
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2019,81
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2020,84
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2021,116
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2022,85
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2023,84
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2024,85
Accidental drowning and submersion (W65-W74),2018,39
Accidental drowning and submersion (W65-W74),2019,34
Accidental drowning and submersion (W65-W74),2020,34
Accidental drowning and submersion (W65-W74),2021,38
Accidental drowning and submersion (W65-W74),2022,39
Accidental drowning and submersion (W65-W74),2023,48
Accidental drowning and submersion (W65-W74),2024,27
Accidental suffocation and strangulation in bed (W75),2018,858
Accidental suffocation and strangulation in bed (W75),2019,961
Accidental suffocation and strangulation in bed (W75),2020,913
Accidental suffocation and strangulation in bed (W75),2021,982
Accidental suffocation and strangulation in bed (W75),2022,1054
Accidental suffocation and strangulation in bed (W75),2023,1006
Accidental suffocation and strangulation in bed (W75),2024,961
Accidental suffocation and strangulation in bed (W75),2025,98
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2018,117
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2019,106
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2020,78
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2021,72
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2022,68
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2023,64
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2024,62
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2025,18
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2018,57
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2019,61
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2020,77
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2021,68
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2022,73
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2023,70
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2024,85
Accidental inhalation and ingestion of food or other objects causing obstruction of respiratory tract (W78-W80),2025,12
"Accidents caused by exposure to smoke, fire and flames (X00-X09)",2018,17
"Accidents caused by exposure to smoke, fire and flames (X00-X09)",2021,15
"Accidents caused by exposure to smoke, fire and flames (X00-X09)",2022,15
"Accidents caused by exposure to smoke, fire and flames (X00-X09)",2024,14
Accidental poisoning and exposure to noxious substances (X40-X49),2018,19
Accidental poisoning and exposure to noxious substances (X40-X49),2019,20
Accidental poisoning and exposure to noxious substances (X40-X49),2020,25
Accidental poisoning and exposure to noxious substances (X40-X49),2021,35
Accidental poisoning and exposure to noxious substances (X40-X49),2022,42
Accidental poisoning and exposure to noxious substances (X40-X49),2023,40
Accidental poisoning and exposure to noxious substances (X40-X49),2024,41
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2018,66
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2019,42
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2020,35
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2021,51
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2022,57
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2023,48
"Other and unspecified accidents (W20-W31,W35-W64,W85-W99,X10-X39,X50-X59)",2024,71
"Assault (homicide) (*U01,X85-Y09)",2018,274
"Assault (homicide) (*U01,X85-Y09)",2019,270
"Assault (homicide) (*U01,X85-Y09)",2020,255
"Assault (homicide) (*U01,X85-Y09)",2021,273
"Assault (homicide) (*U01,X85-Y09)",2022,256
"Assault (homicide) (*U01,X85-Y09)",2023,258
"Assault (homicide) (*U01,X85-Y09)",2024,236
"Assault (homicide) (*U01,X85-Y09)",2025,20
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2018,32
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2019,24
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2020,25
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2021,13
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2022,14
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2023,19
"Assault (homicide) by hanging, strangulation and suffocation (X91)",2024,15
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2019,10
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2020,11
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2021,16
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2022,16
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2023,15
"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",2024,12
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2018,74
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2019,61
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2020,74
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2021,56
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2022,59
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2023,61
"Neglect, abandonment and other maltreatment syndromes (Y06-Y07)",2024,59
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2018,170
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2019,177
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2020,149
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2021,192
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2022,174
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2023,172
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2024,163
"Assault (homicide) by other and unspecified means (*U01.0-*U01.3,*U01.5-*U01.9,X85-X90,X92,X96-X99,Y00-Y05,Y08-Y09)",2025,18
Complications of medical and surgical care (Y40-Y84),2018,102
Complications of medical and surgical care (Y40-Y84),2019,160
Complications of medical and surgical care (Y40-Y84),2020,115
Complications of medical and surgical care (Y40-Y84),2021,140
Complications of medical and surgical care (Y40-Y84),2022,115
Complications of medical and surgical care (Y40-Y84),2023,101
Complications of medical and surgical care (Y40-Y84),2024,112
Complications of medical and surgical care (Y40-Y84),2025,14
Other external causes (Y10-Y36),2018,132
Other external causes (Y10-Y36),2019,141
Other external causes (Y10-Y36),2020,129
Other external causes (Y10-Y36),2021,117
Other external causes (Y10-Y36),2022,173
Other external causes (Y10-Y36),2023,124
Other external causes (Y10-Y36),2024,169
Other external causes (Y10-Y36),2025,13
All unspecified causes of death,2025,688
All unspecified non-causes of death,2018,1733
All unspecified non-causes of death,2019,1808
All unspecified non-causes of death,2020,1696
All unspecified non-causes of death,2021,1853
All unspecified non-causes of death,2022,1941
All unspecified non-causes of death,2023,1826
All unspecified non-causes of death,2024,1829
All unspecified non-causes of death,2025,620
