cause,year,sex,dead,pop
Anencephaly and similar malformations (Q00),2021,Female,140,1742991
Anencephaly and similar malformations (Q00),2021,Male,90,1821502
Anencephaly and similar malformations (Q00),2022,Female,155,1800246
Anencephaly and similar malformations (Q00),2022,Male,120,1882867
Anencephaly and similar malformations (Q00),2023,Female,155,1784146
Anencephaly and similar malformations (Q00),2023,Male,115,1864508
Anencephaly and similar malformations (Q00),2024,Female,162,1784146
Anencephaly and similar malformations (Q00),2024,Male,115,1864508
Anencephaly and similar malformations (Q00),2025,Female,77,1784146
Anencephaly and similar malformations (Q00),2025,Male,68,1864508
Congenital hydrocephalus (Q03),2018,Female,38,1879703
Congenital hydrocephalus (Q03),2018,Male,37,1968505
Congenital hydrocephalus (Q03),2019,Female,31,1847935
Congenital hydrocephalus (Q03),2019,Male,37,1935117
Congenital hydrocephalus (Q03),2020,Female,31,1826869
Congenital hydrocephalus (Q03),2020,Male,30,1908141
Congenital hydrocephalus (Q03),2021,Female,37,1742991
Congenital hydrocephalus (Q03),2021,Male,32,1821502
Congenital hydrocephalus (Q03),2022,Female,29,1800246
Congenital hydrocephalus (Q03),2022,Male,39,1882867
Congenital hydrocephalus (Q03),2023,Female,31,1784146
Congenital hydrocephalus (Q03),2023,Male,30,1864508
Congenital hydrocephalus (Q03),2024,Female,25,1784146
Congenital hydrocephalus (Q03),2024,Male,27,1864508
Congenital hydrocephalus (Q03),2025,Female,21,1784146
Congenital hydrocephalus (Q03),2025,Male,18,1864508
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2018,Female,141,1879703
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2018,Male,134,1968505
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2019,Female,126,1847935
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2019,Male,138,1935117
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2020,Female,128,1826869
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2020,Male,127,1908141
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2021,Female,145,1742991
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2021,Male,108,1821502
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2022,Female,165,1800246
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2022,Male,105,1882867
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2023,Female,133,1784146
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2023,Male,116,1864508
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2024,Female,151,1784146
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2024,Male,111,1864508
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2025,Female,69,1784146
"Other congenital malformations of nervous system (Q01-Q02,Q04,Q06-Q07)",2025,Male,51,1864508
Congenital malformations of heart (Q20-Q24),2018,Female,454,1879703
Congenital malformations of heart (Q20-Q24),2018,Male,519,1968505
Congenital malformations of heart (Q20-Q24),2019,Female,427,1847935
Congenital malformations of heart (Q20-Q24),2019,Male,502,1935117
Congenital malformations of heart (Q20-Q24),2020,Female,388,1826869
Congenital malformations of heart (Q20-Q24),2020,Male,437,1908141
Congenital malformations of heart (Q20-Q24),2021,Female,394,1742991
Congenital malformations of heart (Q20-Q24),2021,Male,440,1821502
Congenital malformations of heart (Q20-Q24),2022,Female,427,1800246
Congenital malformations of heart (Q20-Q24),2022,Male,458,1882867
Congenital malformations of heart (Q20-Q24),2023,Female,407,1784146
Congenital malformations of heart (Q20-Q24),2023,Male,485,1864508
Congenital malformations of heart (Q20-Q24),2024,Female,438,1784146
Congenital malformations of heart (Q20-Q24),2024,Male,476,1864508
Congenital malformations of heart (Q20-Q24),2025,Female,227,1784146
Congenital malformations of heart (Q20-Q24),2025,Male,242,1864508
Other congenital malformations of circulatory system (Q25-Q28),2018,Female,75,1879703
Other congenital malformations of circulatory system (Q25-Q28),2018,Male,86,1968505
Other congenital malformations of circulatory system (Q25-Q28),2019,Female,70,1847935
Other congenital malformations of circulatory system (Q25-Q28),2019,Male,86,1935117
Other congenital malformations of circulatory system (Q25-Q28),2020,Female,67,1826869
Other congenital malformations of circulatory system (Q25-Q28),2020,Male,87,1908141
Other congenital malformations of circulatory system (Q25-Q28),2021,Female,62,1742991
Other congenital malformations of circulatory system (Q25-Q28),2021,Male,91,1821502
Other congenital malformations of circulatory system (Q25-Q28),2022,Female,91,1800246
Other congenital malformations of circulatory system (Q25-Q28),2022,Male,96,1882867
Other congenital malformations of circulatory system (Q25-Q28),2023,Female,75,1784146
Other congenital malformations of circulatory system (Q25-Q28),2023,Male,89,1864508
Other congenital malformations of circulatory system (Q25-Q28),2024,Female,67,1784146
Other congenital malformations of circulatory system (Q25-Q28),2024,Male,79,1864508
Other congenital malformations of circulatory system (Q25-Q28),2025,Female,37,1784146
Other congenital malformations of circulatory system (Q25-Q28),2025,Male,56,1864508
Congenital malformations of respiratory system (Q30-Q34),2018,Female,147,1879703
Congenital malformations of respiratory system (Q30-Q34),2018,Male,208,1968505
Congenital malformations of respiratory system (Q30-Q34),2019,Female,123,1847935
Congenital malformations of respiratory system (Q30-Q34),2019,Male,218,1935117
Congenital malformations of respiratory system (Q30-Q34),2020,Female,148,1826869
Congenital malformations of respiratory system (Q30-Q34),2020,Male,195,1908141
Congenital malformations of respiratory system (Q30-Q34),2021,Female,132,1742991
Congenital malformations of respiratory system (Q30-Q34),2021,Male,166,1821502
Congenital malformations of respiratory system (Q30-Q34),2022,Female,60,1800246
Congenital malformations of respiratory system (Q30-Q34),2022,Male,115,1882867
Congenital malformations of respiratory system (Q30-Q34),2023,Female,105,1784146
Congenital malformations of respiratory system (Q30-Q34),2023,Male,103,1864508
Congenital malformations of respiratory system (Q30-Q34),2024,Female,87,1784146
Congenital malformations of respiratory system (Q30-Q34),2024,Male,95,1864508
Congenital malformations of respiratory system (Q30-Q34),2025,Female,46,1784146
Congenital malformations of respiratory system (Q30-Q34),2025,Male,56,1864508
Congenital malformations of digestive system (Q35-Q45),2018,Female,32,1879703
Congenital malformations of digestive system (Q35-Q45),2018,Male,30,1968505
Congenital malformations of digestive system (Q35-Q45),2019,Female,27,1847935
Congenital malformations of digestive system (Q35-Q45),2019,Male,37,1935117
Congenital malformations of digestive system (Q35-Q45),2020,Female,27,1826869
Congenital malformations of digestive system (Q35-Q45),2020,Male,27,1908141
Congenital malformations of digestive system (Q35-Q45),2021,Female,23,1742991
Congenital malformations of digestive system (Q35-Q45),2021,Male,29,1821502
Congenital malformations of digestive system (Q35-Q45),2022,Female,29,1800246
Congenital malformations of digestive system (Q35-Q45),2022,Male,33,1882867
Congenital malformations of digestive system (Q35-Q45),2023,Female,26,1784146
Congenital malformations of digestive system (Q35-Q45),2023,Male,26,1864508
Congenital malformations of digestive system (Q35-Q45),2024,Female,34,1784146
Congenital malformations of digestive system (Q35-Q45),2024,Male,24,1864508
Congenital malformations of digestive system (Q35-Q45),2025,Female,14,1784146
Congenital malformations of digestive system (Q35-Q45),2025,Male,17,1864508
Congenital malformations of genitourinary system (Q50-Q64),2018,Female,160,1879703
Congenital malformations of genitourinary system (Q50-Q64),2018,Male,272,1968505
Congenital malformations of genitourinary system (Q50-Q64),2019,Female,139,1847935
Congenital malformations of genitourinary system (Q50-Q64),2019,Male,245,1935117
Congenital malformations of genitourinary system (Q50-Q64),2020,Female,133,1826869
Congenital malformations of genitourinary system (Q50-Q64),2020,Male,260,1908141
Congenital malformations of genitourinary system (Q50-Q64),2021,Female,129,1742991
Congenital malformations of genitourinary system (Q50-Q64),2021,Male,240,1821502
Congenital malformations of genitourinary system (Q50-Q64),2022,Female,149,1800246
Congenital malformations of genitourinary system (Q50-Q64),2022,Male,221,1882867
Congenital malformations of genitourinary system (Q50-Q64),2023,Female,132,1784146
Congenital malformations of genitourinary system (Q50-Q64),2023,Male,250,1864508
Congenital malformations of genitourinary system (Q50-Q64),2024,Female,163,1784146
Congenital malformations of genitourinary system (Q50-Q64),2024,Male,242,1864508
Congenital malformations of genitourinary system (Q50-Q64),2025,Female,95,1784146
Congenital malformations of genitourinary system (Q50-Q64),2025,Male,138,1864508
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2018,Female,241,1879703
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2018,Male,290,1968505
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2019,Female,226,1847935
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2019,Male,265,1935117
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2020,Female,220,1826869
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2020,Male,250,1908141
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2021,Female,210,1742991
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2021,Male,231,1821502
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2022,Female,223,1800246
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2022,Male,204,1882867
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2023,Female,191,1784146
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2023,Male,252,1864508
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2024,Female,199,1784146
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2024,Male,245,1864508
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2025,Female,89,1784146
"Congenital malformations and deformations of musculoskeletal system, limbs and integument (Q65-Q85)",2025,Male,143,1864508
Down syndrome (Q90),2018,Female,25,1879703
Down syndrome (Q90),2018,Male,28,1968505
Down syndrome (Q90),2019,Female,30,1847935
Down syndrome (Q90),2019,Male,34,1935117
Down syndrome (Q90),2020,Female,20,1826869
Down syndrome (Q90),2020,Male,29,1908141
Down syndrome (Q90),2021,Female,26,1742991
Down syndrome (Q90),2021,Male,22,1821502
Down syndrome (Q90),2022,Female,25,1800246
Down syndrome (Q90),2022,Male,32,1882867
Down syndrome (Q90),2023,Female,20,1784146
Down syndrome (Q90),2023,Male,29,1864508
Down syndrome (Q90),2024,Female,29,1784146
Down syndrome (Q90),2024,Male,28,1864508
Down syndrome (Q90),2025,Female,16,1784146
Down syndrome (Q90),2025,Male,16,1864508
Edward syndrome (Q91.0-Q91.3),2018,Female,268,1879703
Edward syndrome (Q91.0-Q91.3),2018,Male,195,1968505
Edward syndrome (Q91.0-Q91.3),2019,Female,262,1847935
Edward syndrome (Q91.0-Q91.3),2019,Male,171,1935117
Edward syndrome (Q91.0-Q91.3),2020,Female,247,1826869
Edward syndrome (Q91.0-Q91.3),2020,Male,167,1908141
Edward syndrome (Q91.0-Q91.3),2021,Female,259,1742991
Edward syndrome (Q91.0-Q91.3),2021,Male,172,1821502
Edward syndrome (Q91.0-Q91.3),2022,Female,259,1800246
Edward syndrome (Q91.0-Q91.3),2022,Male,186,1882867
Edward syndrome (Q91.0-Q91.3),2023,Female,270,1784146
Edward syndrome (Q91.0-Q91.3),2023,Male,192,1864508
Edward syndrome (Q91.0-Q91.3),2024,Female,256,1784146
Edward syndrome (Q91.0-Q91.3),2024,Male,189,1864508
Edward syndrome (Q91.0-Q91.3),2025,Female,133,1784146
Edward syndrome (Q91.0-Q91.3),2025,Male,109,1864508
Patau syndrome (Q91.4-Q91.7),2018,Female,92,1879703
Patau syndrome (Q91.4-Q91.7),2018,Male,136,1968505
Patau syndrome (Q91.4-Q91.7),2019,Female,121,1847935
Patau syndrome (Q91.4-Q91.7),2019,Male,108,1935117
Patau syndrome (Q91.4-Q91.7),2020,Female,99,1826869
Patau syndrome (Q91.4-Q91.7),2020,Male,113,1908141
Patau syndrome (Q91.4-Q91.7),2021,Female,117,1742991
Patau syndrome (Q91.4-Q91.7),2021,Male,124,1821502
Patau syndrome (Q91.4-Q91.7),2022,Female,108,1800246
Patau syndrome (Q91.4-Q91.7),2022,Male,84,1882867
Patau syndrome (Q91.4-Q91.7),2023,Female,104,1784146
Patau syndrome (Q91.4-Q91.7),2023,Male,110,1864508
Patau syndrome (Q91.4-Q91.7),2024,Female,121,1784146
Patau syndrome (Q91.4-Q91.7),2024,Male,104,1864508
Patau syndrome (Q91.4-Q91.7),2025,Female,54,1784146
Patau syndrome (Q91.4-Q91.7),2025,Male,58,1864508
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2018,Female,233,1879703
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2018,Male,260,1968505
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2019,Female,250,1847935
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2019,Male,234,1935117
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2020,Female,207,1826869
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2020,Male,245,1908141
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2021,Female,223,1742991
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2021,Male,215,1821502
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2022,Female,195,1800246
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2022,Male,238,1882867
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2023,Female,205,1784146
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2023,Male,231,1864508
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2024,Female,240,1784146
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2024,Male,225,1864508
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2025,Female,117,1784146
"Other congenital malformations and deformations (Q10-Q18,Q86-Q89)",2025,Male,108,1864508
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2018,Female,58,1879703
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2018,Male,43,1968505
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2019,Female,63,1847935
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2019,Male,43,1935117
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2020,Female,45,1826869
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2020,Male,42,1908141
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2021,Female,51,1742991
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2021,Male,38,1821502
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2022,Female,50,1800246
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2022,Male,62,1882867
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2023,Female,62,1784146
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2023,Male,49,1864508
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2024,Female,69,1784146
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2024,Male,51,1864508
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2025,Female,45,1784146
"Other chromosomal abnormalities, not elsewhere classified (Q92-Q99)",2025,Male,30,1864508
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2018,Female,1114,1879703
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2018,Male,1542,1968505
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2019,Female,1038,1847935
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2019,Male,1415,1935117
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2020,Female,1073,1826869
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2020,Male,1417,1908141
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2021,Female,1178,1742991
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2021,Male,1536,1821502
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2022,Female,1120,1800246
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2022,Male,1571,1882867
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2023,Female,1128,1784146
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2023,Male,1464,1864508
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2024,Female,1060,1784146
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2024,Male,1429,1864508
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2025,Female,697,1784146
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",2025,Male,874,1864508
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2018,Female,526,1879703
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2018,Male,796,1968505
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2019,Female,499,1847935
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2019,Male,706,1935117
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2020,Female,470,1826869
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2020,Male,631,1908141
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2021,Female,533,1742991
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2021,Male,722,1821502
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2022,Female,497,1800246
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2022,Male,665,1882867
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2023,Female,514,1784146
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2023,Male,633,1864508
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2024,Female,513,1784146
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2024,Male,625,1864508
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2025,Female,628,1784146
"Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R53,R55-R94,R96-R99)",2025,Male,786,1864508
"All other diseases (F00-F99,H00-H57,L00-M99)",2019,Female,10,1847935
"All other diseases (F00-F99,H00-H57,L00-M99)",2019,Male,10,1935117
"All other diseases (F00-F99,H00-H57,L00-M99)",2020,Male,11,1908141
"All other diseases (F00-F99,H00-H57,L00-M99)",2021,Male,18,1821502
"All other diseases (F00-F99,H00-H57,L00-M99)",2024,Female,13,1784146
"All other diseases (F00-F99,H00-H57,L00-M99)",2024,Male,10,1864508
"External causes of mortality (*U01,V01-Y84)",2018,Female,642,1879703
"External causes of mortality (*U01,V01-Y84)",2018,Male,924,1968505
"External causes of mortality (*U01,V01-Y84)",2019,Female,687,1847935
"External causes of mortality (*U01,V01-Y84)",2019,Male,987,1935117
"External causes of mortality (*U01,V01-Y84)",2020,Female,656,1826869
"External causes of mortality (*U01,V01-Y84)",2020,Male,902,1908141
"External causes of mortality (*U01,V01-Y84)",2021,Female,707,1742991
"External causes of mortality (*U01,V01-Y84)",2021,Male,976,1821502
"External causes of mortality (*U01,V01-Y84)",2022,Female,734,1800246
"External causes of mortality (*U01,V01-Y84)",2022,Male,1015,1882867
"External causes of mortality (*U01,V01-Y84)",2023,Female,733,1784146
"External causes of mortality (*U01,V01-Y84)",2023,Male,895,1864508
"External causes of mortality (*U01,V01-Y84)",2024,Female,717,1784146
"External causes of mortality (*U01,V01-Y84)",2024,Male,895,1864508
"External causes of mortality (*U01,V01-Y84)",2025,Female,78,1784146
"External causes of mortality (*U01,V01-Y84)",2025,Male,93,1864508
Transport accidents (V01-V99),2018,Female,43,1879703
Transport accidents (V01-V99),2018,Male,39,1968505
Transport accidents (V01-V99),2019,Female,31,1847935
Transport accidents (V01-V99),2019,Male,44,1935117
Transport accidents (V01-V99),2020,Female,33,1826869
Transport accidents (V01-V99),2020,Male,44,1908141
Transport accidents (V01-V99),2021,Female,52,1742991
Transport accidents (V01-V99),2021,Male,56,1821502
Transport accidents (V01-V99),2022,Female,38,1800246
Transport accidents (V01-V99),2022,Male,42,1882867
Transport accidents (V01-V99),2023,Female,33,1784146
Transport accidents (V01-V99),2023,Male,46,1864508
Transport accidents (V01-V99),2024,Female,44,1784146
Transport accidents (V01-V99),2024,Male,31,1864508
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2018,Female,43,1879703
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2018,Male,38,1968505
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2019,Female,31,1847935
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2019,Male,43,1935117
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2020,Female,31,1826869
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2020,Male,43,1908141
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2021,Female,52,1742991
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2021,Male,55,1821502
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2022,Female,38,1800246
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2022,Male,41,1882867
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2023,Female,33,1784146
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2023,Male,45,1864508
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2024,Female,44,1784146
"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",2024,Male,31,1864508
Accidental drowning and submersion (W65-W74),2018,Female,22,1879703
Accidental drowning and submersion (W65-W74),2018,Male,17,1968505
Accidental drowning and submersion (W65-W74),2019,Female,13,1847935
Accidental drowning and submersion (W65-W74),2019,Male,21,1935117
Accidental drowning and submersion (W65-W74),2020,Female,19,1826869
Accidental drowning and submersion (W65-W74),2020,Male,15,1908141
Accidental drowning and submersion (W65-W74),2021,Female,16,1742991
Accidental drowning and submersion (W65-W74),2021,Male,22,1821502
Accidental drowning and submersion (W65-W74),2022,Female,19,1800246
Accidental drowning and submersion (W65-W74),2022,Male,20,1882867
Accidental drowning and submersion (W65-W74),2023,Female,23,1784146
Accidental drowning and submersion (W65-W74),2023,Male,25,1864508
Accidental drowning and submersion (W65-W74),2024,Female,13,1784146
Accidental drowning and submersion (W65-W74),2024,Male,13,1864508
Accidental suffocation and strangulation in bed (W75),2018,Female,324,1879703
Accidental suffocation and strangulation in bed (W75),2018,Male,514,1968505
Accidental suffocation and strangulation in bed (W75),2019,Female,390,1847935
Accidental suffocation and strangulation in bed (W75),2019,Male,565,1935117
Accidental suffocation and strangulation in bed (W75),2020,Female,385,1826869
Accidental suffocation and strangulation in bed (W75),2020,Male,520,1908141
Accidental suffocation and strangulation in bed (W75),2021,Female,408,1742991
Accidental suffocation and strangulation in bed (W75),2021,Male,563,1821502
Accidental suffocation and strangulation in bed (W75),2022,Female,415,1800246
Accidental suffocation and strangulation in bed (W75),2022,Male,625,1882867
Accidental suffocation and strangulation in bed (W75),2023,Female,452,1784146
Accidental suffocation and strangulation in bed (W75),2023,Male,542,1864508
Accidental suffocation and strangulation in bed (W75),2024,Female,420,1784146
Accidental suffocation and strangulation in bed (W75),2024,Male,526,1864508
Accidental suffocation and strangulation in bed (W75),2025,Female,42,1784146
Accidental suffocation and strangulation in bed (W75),2025,Male,54,1864508
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2018,Female,48,1879703
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2018,Male,65,1968505
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2019,Female,35,1847935
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2019,Male,69,1935117
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2020,Female,32,1826869
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2020,Male,43,1908141
"Other accidental suffocation and strangulation (W76-W77,W81-W84)",2021,Female,32,1742991
